Season,Team,Match,Win,Draw,Defeat,Goals,Assists,Yellow Card,Red Card,Free Kick,Penalty,Penalty Missed
2004/05,Barcelona,9,7,0,2,1,0,0,0,0,0,0
2005/06,Barcelona,25,20,3,2,8,3,2,0,0,0,0
2005/06,Argentina,10,6,1,3,2,3,0,1,0,0,0
2006/07,Barcelona,36,21,7,8,17,3,4,0,0,0,0
2006/07,Argentina,10,6,1,3,4,2,1,0,0,1,0
2007/08,Barcelona,40,22,12,6,16,13,6,0,0,5,1
2007/08,Argentina,10,5,3,2,3,3,1,0,0,0,0
2008/09,Barcelona,51,37,11,3,38,17,4,0,1,4,2
2008/09,Argentina,9,4,2,3,3,2,1,0,0,0,0
2009/10,Barcelona,53,40,9,4,47,11,6,0,2,2,0
2009/10,Argentina,11,7,0,4,1,1,1,0,0,1,0
2010/11,Barcelona,55,39,10,6,53,23,5,0,1,5,2
2010/11,Argentina,11,6,4,1,4,6,1,0,0,1,0
2011/12,Barcelona,60,43,13,4,73,30,9,0,3,14,3
2011/12,Argentina,9,7,1,1,9,4,0,0,0,1,0
2012/13,Barcelona,50,34,9,7,60,15,2,0,4,5,0
2012/13,Argentina,12,7,5,0,9,3,0,0,2,2,1
2013/14,Barcelona,46,29,11,6,41,14,3,0,3,8,2
2013/14,Argentina,11,8,2,1,7,2,0,0,1,2,0
2014/15,Barcelona,57,47,4,6,58,27,6,0,2,6,3
2014/15,Argentina,10,5,3,2,4,4,1,0,0,2,1
2015/16,Barcelona,49,36,7,6,41,23,5,0,7,4,3
2015/16,Argentina,10,8,2,0,9,4,1,0,2,1,0
2016/17,Barcelona,52,38,7,7,54,16,8,0,4,9,1
2016/17,Argentina,5,4,0,1,3,2,0,0,1,1,0
2017/18,Barcelona,54,38,12,4,45,18,7,0,7,3,3
2017/18,Argentina,10,4,4,2,7,3,1,0,0,1,1
2018/19,Barcelona,50,35,11,4,51,19,3,0,8,5,1
2018/19,Argentina,8,4,1,3,3,1,0,1,0,1,0
2019/20,Barcelona,44,27,9,8,31,25,7,0,5,5,0
2019/20,Argentina,2,1,1,0,2,1,0,0,0,1,1
2020/21,Barcelona,47,29,7,11,38,12,5,1,3,7,3
2020/21,Argentina,13,8,5,0,6,5,0,0,2,3,0
2021/22,PSG,34,20,9,5,11,14,1,0,0,2,1
2021/22,Argentina,11,8,3,0,10,2,0,0,0,1,0
2022/23,PSG,41,29,4,8,21,20,0,0,2,0,0
2022/23,Argentina,13,10,2,1,17,5,1,0,2,5,1
2023/24,Inter Miami,29,17,8,4,25,16,1,0,2,1,0
2023/24,Argentina,9,8,0,1,5,2,0,0,1,0,0
2024/25,Inter Miami,34,16,10,8,25,8,6,0,3,1,0
2024/25,Argentina,9,5,3,1,4,3,0,0,0,0,0
